gender,age,f-edu,m-edu,income,event,duration,p1,p2,p3,p4,p5,s1,s2,s3,s4,s5,c1,c2,c3,c4,c5,e1,e2,e3,e4,e5
Male,22,College,High School," 21,194 -  43,828",1,31,4,4,3,3,4,4,2,2,1,5,2,2,2,2,3,1,2,2,2,2
Male,23,College,College," 43,828 -  76,669",0,40,5,5,4,4,4,5,3,3,4,4,5,5,3,5,5,5,5,5,5,5
Male,19,College,High School," 43,828 -  76,669",1,15,1,2,2,4,4,4,1,2,4,1,2,2,1,2,1,5,5,5,5,5
Male,24,High School,Elementary," 21,194 -  43,828",0,40,1,5,4,4,4,4,5,5,4,5,3,3,2,4,5,2,3,4,1,5
Male,19,High School,College," 21,194 -  43,828",1,4,3,4,4,4,3,4,2,2,4,5,1,1,2,4,4,2,2,2,2,2
Female,22,College,College," 21,194 -  43,828",0,40,4,5,5,5,4,4,4,4,4,4,3,2,3,3,4,5,4,4,4,4
Female,22,High School,Elementary," 9,520 to  21,194",1,3,4,4,4,4,5,4,4,4,3,5,3,4,3,4,4,2,2,3,3,2
Female,19,College,Masters," 43,828 -  76,669",0,40,3,5,3,3,4,3,3,3,1,2,5,5,3,4,4,4,4,5,5,5
Male,22,College,High School," 21,194 -  43,828",0,40,4,3,3,3,5,3,2,1,2,1,4,4,3,3,3,4,4,3,5,5
Female,18,College,High School," 21,194 -  43,828",0,40,4,4,4,3,3,3,1,2,2,4,3,4,2,5,2,2,3,2,3,1
Male,23,High School,High School," 9,520 to  21,194",1,14,2,3,2,3,2,4,4,4,3,4,2,2,2,2,2,2,2,4,3,1
Male,23,College,High School,"Less than  9,520",0,40,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,1,1,1,1,1
Female,18,College,High School," 9,520 to  21,194",1,9,5,5,5,5,5,2,3,2,1,3,5,5,5,5,5,1,1,1,1,1
Female,24,Masters,PHd," 43,828 -  76,669",0,40,3,2,4,4,4,5,2,3,3,3,3,3,3,3,3,4,4,3,5,5
Female,24,High School,High School," 9,520 to  21,194",1,2,3,3,3,4,3,3,4,1,2,5,2,1,2,3,3,1,1,2,1,2
Male,18,Elementary,College," 21,194 -  43,828",0,40,4,5,3,3,2,4,3,4,4,2,3,4,4,4,4,3,3,3,4,3
Male,24,High School,College," 21,194 -  43,828",1,28,5,1,1,1,1,4,4,1,3,5,3,2,4,3,3,2,3,3,2,3
Male,22,High School,High School," 21,194 -  43,828",0,40,4,4,3,3,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3
Female,23,Elementary,Elementary,"Less than  9,520",1,24,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,2,3,2
Female,21,High School,High School,"Less than  9,520",0,40,4,5,4,5,5,5,4,5,5,4,4,5,4,5,5,4,3,3,5,3
Male,21,College,High School," 76,669 -  131,484",0,40,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5
Male,24,High School,Elementary," 9,520 to  21,194",0,40,3,4,4,3,3,3,2,5,3,3,4,3,3,3,3,3,4,2,3,3
Male,23,High School,High School,"Less than  9,520",0,40,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2
Male,20,Elementary,High School," 9,520 to  21,194",0,40,5,5,5,5,5,3,4,4,2,4,4,3,3,3,3,3,3,3,3,3
Female,18,High School,College," 9,520 to  21,194",1,6,4,4,4,4,4,3,4,4,2,5,5,5,5,5,5,2,1,1,1,1
Female,21,College,College," 21,194 -  43,828",0,40,2,4,5,5,3,4,4,4,3,3,4,3,3,4,4,4,4,4,5,5
Female,24,High School,College," 21,194 -  43,828",0,40,5,4,5,5,4,5,2,3,5,2,5,4,3,4,5,2,4,4,4,5
Female,18,College,PHd," 21,194 -  43,828",0,40,3,4,3,4,4,3,4,5,2,2,3,4,4,5,5,4,3,5,4,4
Male,21,College,College,"Less than  9,520",0,40,4,4,3,4,4,4,4,4,3,4,4,3,3,4,4,3,3,2,2,3
Male,19,College,College," 21,194 -  43,828",1,22,2,1,2,2,1,1,1,3,3,1,2,2,1,2,2,5,5,5,5,5
Female,19,High School,College," 21,194 -  43,828",0,40,3,5,4,4,2,5,4,3,4,3,3,2,3,2,3,3,3,4,4,4
Female,21,College,High School," 9,520 to  21,194",0,40,4,3,5,5,3,4,5,5,4,5,4,4,4,5,4,4,4,3,4,3
Male,21,High School,College,"Less than  9,520",1,19,4,4,3,4,4,5,4,4,4,4,3,3,3,4,4,4,3,2,5,4
Male,23,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,3,5,5,5,5,4,5,5,5,5,4,3,4,3,4,3
Female,21,High School,High School,"Less than  9,520",0,40,3,5,4,5,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5
Female,21,High School,High School," 9,520 to  21,194",0,40,4,5,3,4,5,5,4,5,5,4,3,3,3,3,3,3,3,3,5,3
Male,21,College,High School,"Less than  9,520",0,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Female,23,Elementary,Elementary,"Less than  9,520",0,40,3,3,4,4,3,5,5,5,4,4,3,3,3,3,3,3,3,2,3,2
Male,22,High School,High School,"Less than  9,520",0,40,4,4,5,5,4,5,4,5,4,4,4,4,4,4,5,3,3,2,3,3
Male,18,Elementary,Elementary,"Less than  9,520",1,31,4,4,4,4,4,3,3,3,3,3,4,4,4,5,5,1,1,1,1,1
Male,23,High School,High School,"Less than  9,520",1,22,1,3,3,4,4,3,4,2,2,3,2,4,4,4,4,3,2,3,5,2
Female,21,High School,High School," 9,520 to  21,194",0,40,4,5,5,5,4,5,5,5,5,4,4,5,4,5,5,4,4,4,5,4
Male,22,High School,Elementary," 9,520 to  21,194",0,40,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4
Male,22,High School,High School," 21,194 -  43,828",1,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3
Male,21,High School,High School," 21,194 -  43,828",0,40,3,4,3,4,3,5,4,5,4,5,3,4,3,2,4,2,3,3,2,4
Male,20,High School,High School,"Less than  9,520",1,26,3,3,2,2,4,4,4,4,4,4,3,3,3,3,3,2,1,1,2,1
Male,21,College,College," 21,194 -  43,828",0,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Female,20,College,Masters," 76,669 -  131,484",0,40,4,4,5,4,3,4,4,5,4,4,3,4,3,4,4,4,5,4,5,5
Male,19,College,High School," 21,194 -  43,828",1,31,5,5,4,5,3,3,3,5,4,3,4,5,3,4,5,4,4,4,4,4
Male,21,College,College," 9,520 to  21,194",0,40,1,1,2,3,1,1,1,1,3,2,1,1,1,1,1,3,3,4,3,4
Female,21,College,College," 9,520 to  21,194",0,40,3,4,4,5,3,5,4,5,4,3,3,4,4,4,4,4,4,4,5,4
Female,23,Elementary,Elementary,"Less than  9,520",0,40,4,4,3,2,3,5,4,5,5,4,3,3,3,3,4,4,3,3,4,3
Female,21,College,College,"Less than  9,520",0,40,4,5,4,4,5,5,4,4,4,4,5,4,4,5,4,4,4,3,4,4
Male,22,High School,High School,"Less than  9,520",0,40,4,4,4,3,4,5,4,5,4,4,3,3,3,4,4,4,3,3,3,3
Female,22,High School,College," 9,520 to  21,194",0,40,4,5,3,4,4,5,5,5,5,5,5,4,5,5,5,4,5,3,5,5
Female,21,High School,Elementary," 9,520 to  21,194",0,40,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5
Female,21,College,College," 9,520 to  21,194",0,40,4,4,4,4,4,5,5,5,4,3,3,4,4,4,4,4,4,3,4,5
Male,23,College,High School," 21,194 -  43,828",1,7,4,4,4,4,4,2,3,3,2,3,4,4,5,4,5,1,1,1,1,1
Female,21,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3
Female,21,High School,High School," 21,194 -  43,828",0,40,3,3,2,4,3,5,4,4,3,3,2,4,2,2,3,4,4,2,4,3
Female,21,College,College," 43,828 -  76,669",0,40,5,4,5,5,3,5,4,5,4,3,5,5,4,4,4,4,4,4,5,4
Female,18,High School,High School," 9,520 to  21,194",1,25,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,1,1,1,1,1
Female,22,High School,High School,"Less than  9,520",0,40,3,4,5,4,3,5,4,5,5,5,3,4,4,5,5,3,3,2,2,3
Male,23,No formal education,High School," 21,194 -  43,828",1,33,5,5,2,4,3,5,2,3,2,2,2,2,2,3,3,3,4,3,3,2
Female,24,High School,High School," 9,520 to  21,194",0,40,4,4,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3
Female,20,High School,Elementary,"Less than  9,520",0,40,3,4,5,2,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,2
Male,18,College,College,"Less than  9,520",0,40,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4
Female,21,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3
Female,20,Elementary,Elementary," 9,520 to  21,194",1,8,4,5,3,3,4,5,5,4,2,3,3,3,4,4,4,3,3,3,2,3
Female,20,Elementary,High School,"Less than  9,520",0,40,4,4,5,4,4,5,5,4,3,4,4,4,5,5,5,3,4,2,3,1
Male,20,College,Elementary,"Less than  9,520",1,29,3,3,4,4,3,5,4,3,3,4,3,3,3,4,4,3,3,3,3,3
Male,20,College,High School," 9,520 to  21,194",0,40,4,4,5,3,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4
Female,20,High School,High School," 9,520 to  21,194",0,40,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5
Male,22,College,College,"Less than  9,520",0,40,5,4,3,4,2,3,3,5,4,5,2,3,3,3,3,3,1,1,3,3
Female,21,College,College," 21,194 -  43,828",0,40,3,3,3,4,3,5,4,4,4,4,3,3,3,3,3,4,4,3,4,4
Male,21,No formal education,No formal education,"Less than  9,520",0,40,3,3,2,4,3,4,3,5,5,4,3,4,3,4,3,3,1,3,3,2
Female,21,High School,College," 9,520 to  21,194",0,40,5,4,4,5,4,5,5,5,4,4,3,3,3,5,5,4,4,3,3,5
Female,21,Elementary,High School," 21,194 -  43,828",0,40,3,4,5,4,4,5,3,4,4,4,3,3,4,4,4,3,4,3,3,3
Male,22,High School,High School," 9,520 to  21,194",0,40,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5
Female,21,High School,Elementary," 9,520 to  21,194",0,40,4,3,4,4,3,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4
Female,20,Elementary,High School," 9,520 to  21,194",0,40,3,4,3,5,4,5,4,5,5,3,4,4,3,4,4,4,3,3,5,3
Male,23,Elementary,Elementary,"Less than  9,520",1,36,3,3,3,3,3,2,4,4,3,4,4,4,4,4,4,1,1,1,1,1
Male,21,High School,Elementary,"Less than  9,520",0,40,5,5,5,5,5,5,3,4,5,3,4,4,4,4,4,3,3,2,3,3
Female,21,High School,High School," 9,520 to  21,194",0,40,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5
Female,22,College,High School,"Less than  9,520",0,40,5,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
Female,19,College,College," 9,520 to  21,194",0,40,4,4,5,3,3,5,4,5,5,3,3,4,4,3,4,4,5,4,5,4
Male,21,High School,Elementary,"Less than  9,520",0,40,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3
Female,19,High School,High School," 9,520 to  21,194",0,40,3,4,3,4,3,5,4,4,3,3,3,3,2,4,5,4,5,3,3,4
Female,23,High School,High School," 9,520 to  21,194",0,40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,3,3
Female,19,College,High School," 9,520 to  21,194",0,40,4,5,5,5,4,5,5,4,5,3,5,4,4,5,4,5,5,4,5,5
Female,19,PHd,Masters," 219,140 and up",0,40,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Female,19,College,High School," 9,520 to  21,194",0,40,3,5,5,5,5,5,3,1,3,2,3,3,3,3,3,3,4,4,4,3
Male,20,High School,High School,"Less than  9,520",0,40,4,5,5,5,4,3,4,3,3,4,4,4,4,4,5,3,1,2,2,1
Female,22,High School,College," 9,520 to  21,194",0,40,3,5,3,4,3,5,5,5,5,3,4,4,4,4,4,3,3,2,3,4
Female,20,College,High School,"Less than  9,520",0,40,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,3,2,3,3
Male,20,High School,College," 9,520 to  21,194",0,40,4,4,2,3,3,4,5,5,5,4,2,3,4,3,3,3,2,2,3,3
Male,22,Elementary,No formal education," 21,194 -  43,828",0,40,4,5,3,4,4,5,4,5,5,5,3,4,4,4,4,4,4,3,3,2
Male,24,High School,Elementary,"Less than  9,520",1,10,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,4,1,1,2
Female,22,College,High School," 21,194 -  43,828",0,40,5,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5
Male,24,College,College,"Less than  9,520",1,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
Female,22,College,College,"Less than  9,520",0,40,2,3,3,4,3,5,4,4,5,4,4,4,3,5,4,4,4,3,3,2
Female,17,College,College," 9,520 to  21,194",0,40,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5,5
Female,20,High School,High School,"Less than  9,520",0,40,4,4,3,4,4,4,3,3,3,3,4,3,3,4,4,3,3,2,4,3
Male,20,High School,High School," 219,140 and up",0,40,5,5,5,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,4,5
Female,21,High School,High School," 9,520 to  21,194",0,40,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,3,4,4
Female,21,College,College," 9,520 to  21,194",0,40,4,5,4,5,4,5,4,5,5,4,4,5,4,4,5,4,4,4,4,4
Female,22,High School,High School," 9,520 to  21,194",0,40,5,4,3,4,4,5,4,5,5,4,4,4,3,5,4,5,5,3,4,3
Female,22,High School,High School," 9,520 to  21,194",0,40,3,5,5,5,4,4,4,5,3,5,4,4,4,3,4,4,5,5,5,4
Female,22,High School,High School,"Less than  9,520",0,40,3,4,4,4,3,5,4,4,4,4,4,4,4,4,4,3,3,3,4,3
Male,18,High School,High School," 9,520 to  21,194",1,28,5,5,5,5,5,2,4,4,3,4,1,1,1,1,1,2,1,1,1,1
Male,21,High School,High School,"Less than  9,520",1,20,5,5,5,5,5,3,4,4,3,4,1,1,1,1,1,1,1,2,1,2
Female,22,High School,College," 21,194 -  43,828",0,40,4,5,5,5,5,3,3,2,3,4,2,4,4,4,3,4,4,2,3,4
Female,21,Elementary,Elementary," 9,520 to  21,194",0,40,4,5,4,4,4,5,4,5,4,3,4,4,4,4,4,4,4,3,5,3
Male,23,Elementary,Elementary,"Less than  9,520",0,40,4,4,5,5,4,5,3,5,4,4,4,4,4,4,4,4,4,3,3,3
Male,20,Elementary,Elementary,"Less than  9,520",0,40,4,4,5,5,5,5,4,4,4,3,5,5,5,5,4,4,4,3,4,3
Female,22,High School,High School,"Less than  9,520",0,40,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Female,22,High School,High School," 9,520 to  21,194",0,40,4,4,2,5,4,4,5,5,5,5,2,4,3,4,3,3,3,2,3,3
Female,21,College,College," 21,194 -  43,828",0,40,3,3,4,5,3,5,4,5,4,5,3,3,3,2,1,4,4,4,5,5
Male,22,College,High School," 9,520 to  21,194",0,40,5,4,4,5,3,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4
Male,23,Masters,High School," 9,520 to  21,194",0,40,4,4,4,4,3,4,4,3,4,2,4,4,4,4,4,4,4,3,3,3
Male,23,College,College," 9,520 to  21,194",0,40,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4
Female,21,Elementary,Elementary,"Less than  9,520",0,40,3,5,3,4,4,4,3,3,5,3,4,5,5,5,5,3,4,3,5,5
Male,21,College,College," 21,194 -  43,828",0,40,3,4,4,4,3,4,3,3,4,4,2,4,4,4,4,4,4,3,4,3
Male,20,College,College,"Less than  9,520",0,40,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3
Female,20,Elementary,High School," 9,520 to  21,194",0,40,4,5,3,4,4,5,4,4,5,4,4,4,3,4,4,4,4,3,3,4
Female,21,Elementary,High School," 43,828 -  76,669",0,40,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4
Female,21,Elementary,High School," 21,194 -  43,828",1,23,3,3,2,2,3,5,3,4,4,3,3,3,3,3,3,3,3,3,3,4
Female,24,High School,High School," 9,520 to  21,194",1,25,4,4,4,4,4,5,4,4,4,5,3,3,3,3,3,3,3,3,2,2
Female,22,College,High School," 43,828 -  76,669",0,40,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3
Female,19,College,High School," 9,520 to  21,194",0,40,4,4,5,5,4,5,5,4,5,4,4,4,2,5,5,3,5,3,4,2
Female,22,College,High School," 21,194 -  43,828",1,33,5,4,4,5,3,4,3,5,5,3,2,3,3,3,3,4,4,3,3,4
Female,21,College,High School," 9,520 to  21,194",0,40,3,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,3,2,4,4
Female,22,High School,College," 21,194 -  43,828",0,40,4,5,4,4,3,4,3,3,4,3,3,4,3,4,4,3,3,2,4,3
Female,21,Elementary,High School,"Less than  9,520",0,40,3,4,4,4,3,5,5,5,5,4,4,4,4,5,5,3,4,3,4,3
Male,24,High School,College,"Less than  9,520",1,34,2,2,1,1,2,3,3,3,3,4,1,1,2,3,3,1,1,1,1,1
Male,22,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,4,5,4,4,3,3,3,3,3,4,4,3,3,3,3,3
Female,21,College,High School," 9,520 to  21,194",0,40,4,4,5,4,3,3,3,3,3,3,3,4,3,3,3,2,2,2,4,3
Female,27,Elementary,Elementary," 9,520 to  21,194",0,40,4,4,5,3,4,5,3,4,5,3,3,5,3,4,5,3,4,2,5,4
Male,22,High School,College,"Less than  9,520",0,40,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3
Female,19,College,Masters," 9,520 to  21,194",0,40,3,4,5,5,3,5,4,4,4,3,3,4,4,4,4,3,4,3,5,5
Male,19,High School,Elementary,"Less than  9,520",1,35,4,4,5,3,3,3,4,4,3,4,4,5,3,3,4,2,1,3,3,1
Female,20,College,Elementary," 9,520 to  21,194",1,13,4,4,5,4,4,3,4,4,3,5,5,5,5,5,5,2,2,2,3,2
Male,18,High School,High School," 9,520 to  21,194",1,8,4,5,5,4,5,3,2,2,3,1,5,5,4,5,5,2,3,2,3,3
Female,21,Masters,PHd," 131,484 -  219,140",0,40,1,1,4,4,4,5,3,5,5,5,3,4,5,5,5,5,5,5,5,5
Male,21,High School,High School,"Less than  9,520",1,25,2,2,3,3,3,2,3,1,3,3,1,2,3,3,3,3,1,1,4,4
Female,23,Elementary,High School,"Less than  9,520",1,7,4,1,2,2,2,1,1,1,2,4,2,2,2,4,2,1,1,1,2,2
Male,22,High School,Elementary,"Less than  9,520",1,26,1,1,1,1,1,4,4,1,3,5,3,2,4,3,3,2,3,3,2,3
Male,19,Elementary,Elementary,"Less than  9,520",0,40,4,5,3,3,2,4,3,4,4,2,3,4,4,4,4,3,3,3,4,3
Female,21,College,College," 43,828 -  76,669",0,40,3,2,4,4,4,5,2,3,3,3,3,3,3,3,3,4,4,3,5,5
Male,20,College,Elementary," 21,194 -  43,828",1,4,3,3,3,4,3,3,4,1,2,5,2,1,2,3,3,1,1,2,1,2
Male,24,High School,College," 21,194 -  43,828",0,40,4,4,4,3,3,3,1,2,2,4,4,2,4,4,4,3,3,3,3,4
Female,21,High School,High School,"Less than  9,520",0,40,4,5,4,5,5,4,3,4,4,3,3,4,2,5,2,2,3,2,3,1
Male,23,High School,College," 21,194 -  43,828",0,40,2,2,5,5,5,5,4,3,4,5,4,3,5,5,5,3,2,4,2,4
Female,21,College,High School," 21,194 -  43,828",0,40,4,4,4,4,4,4,3,1,4,3,3,1,2,4,2,3,4,3,3,2
Female,23,High School,Elementary,"Less than  9,520",1,8,5,1,2,2,2,3,2,1,2,3,2,1,2,4,2,1,1,2,2,3
Female,22,Elementary,Elementary,"Less than  9,520",1,9,3,1,3,3,3,4,4,4,3,5,2,3,1,5,1,3,4,3,2,2
Female,18,College,Elementary," 21,194 -  43,828",0,40,2,2,4,4,4,3,5,5,4,5,3,2,1,1,1,3,3,3,1,4
Male,23,High School,College," 43,828 -  76,669",0,40,3,3,5,5,5,4,4,2,1,3,5,4,4,4,4,4,5,5,5,5
Male,20,PHd,PHd," 131,484 -  219,140",1,6,2,2,1,1,1,1,3,1,3,4,3,2,2,4,2,2,1,2,2,3
Female,24,College,College," 43,828 -  76,669",0,40,4,2,3,4,3,3,4,3,4,4,3,3,3,3,3,5,5,3,5,5
Female,21,College,College," 21,194 -  43,828",0,40,5,5,5,5,5,3,2,1,2,1,4,4,3,3,3,4,4,3,5,5
Female,23,High School,High School," 9,520 to  21,194",0,40,4,3,3,3,5,4,3,3,3,2,5,4,3,3,3,1,3,3,1,1
Male,22,College,College," 43,828 -  76,669",0,40,3,5,3,3,4,3,3,3,1,2,5,5,3,4,4,4,4,5,5,5
Female,22,High School,College," 9,520 to  21,194",0,40,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3
Female,22,High School,Elementary," 21,194 -  43,828",0,40,4,5,5,5,3,5,3,4,4,3,4,2,4,4,4,5,5,5,5,5
Male,23,College,College," 9,520 to  21,194",0,40,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4
Female,22,High School,College,"Less than  9,520",0,40,4,4,4,4,3,4,4,4,4,2,4,4,4,4,5,2,4,4,4,3
Male,24,High School,High School,"Less than  9,520",1,5,4,4,2,2,3,3,4,4,3,4,2,3,3,4,4,3,3,3,3,3
Male,18,High School,Elementary,"Less than  9,520",1,35,2,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3,2
Female,23,College,Elementary,"Less than  9,520",0,40,5,5,4,3,4,5,5,5,5,4,4,4,4,5,5,3,4,2,3,3
Female,23,Elementary,High School,"Less than  9,520",0,40,3,4,3,3,3,5,4,4,4,5,3,3,3,3,4,2,3,2,3,1
Female,24,College,High School," 43,828 -  76,669",0,40,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5
Female,20,Elementary,High School,"Less than  9,520",0,40,4,4,3,4,3,5,3,3,4,3,3,3,3,4,4,4,4,3,4,4
Female,19,High School,High School," 9,520 to  21,194",0,40,3,4,3,4,3,4,5,4,3,3,4,4,4,4,4,3,3,3,3,3
Female,18,Elementary,High School," 9,520 to  21,194",0,40,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4
Female,24,College,High School,"Less than  9,520",0,40,5,5,3,5,4,5,5,5,5,5,5,5,4,4,5,4,3,1,4,1
Female,19,College,College," 43,828 -  76,669",0,40,3,3,2,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,5,4
Male,18,High School,College,"Less than  9,520",0,40,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,4,4,4,4,4
Female,23,High School,High School,"Less than  9,520",0,40,4,5,4,4,3,4,3,4,4,4,3,3,3,4,3,3,3,3,3,3
Female,20,High School,High School,"Less than  9,520",1,16,4,5,4,5,5,5,5,5,5,4,3,4,4,4,5,3,3,3,3,3
Female,20,High School,High School,"Less than  9,520",0,40,3,5,4,4,4,5,5,5,5,4,4,4,5,5,5,4,4,3,4,4
Male,19,High School,High School,"Less than  9,520",0,40,5,5,3,3,3,4,4,4,4,3,3,3,3,5,5,3,4,3,3,5
